Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
"GREENVILLE DIALYSIS CLINIC, LLC",422637,,,,220-A HOWE STREET,,GREENVILLE,SC,29601,6,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,10,N/A,100%,No reduction,10/18/2012,AMERICAN RENAL ASSOCIATES,11/16/2012
GREER SOUTH HOME TRAINING,422638,,,,3254 BRUSHY CREEK ROAD,Suite A,GREER,SC,29650,6,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,,No reduction,12/19/2012,DAVITA,01/17/2013
PRAIRIE LAKES HEALTHCARE SYSTEM,430005,432300,,,401 - 9TH AVENUE NORTHWEST,PO BOX 1210,WATERTOWN,SD,57201,11,10,0%,22,0%,21,Achievement,10,100%,23,100%,22,Achievement,10,76%,269,65%,262,Achievement,9,6%,249,10%,189,Achievement,10%,10,10,10,100%,No reduction,09/01/1977,INDEPENDENT,05/13/2006
HURON REGIONAL MEDICAL CTR,430011,432301,,,172 4TH STREET SOUTHEAST,,HURON,SD,57350,11,N/A,,0,8%,13,N/A,10,100%,13,100%,15,Achievement,9,73%,135,62%,168,Achievement,9,7%,132,17%,114,Achievement,9%,0,5,10,90%,No reduction,08/18/1977,INDEPENDENT,05/13/2006
AVERA SACRED HEART - YANKTON DIALYSIS,430012,432306,,,501 SUMMIT AVENUE,,YANKTON,SD,57078,11,10,0%,26,5%,22,Achievement,10,100%,17,100%,21,Achievement,4,58%,218,69%,231,Achievement,4,16%,174,6%,157,Achievement,4%,10,10,10,82%,No reduction,12/01/1986,INDEPENDENT,05/13/2006
AVERA ST LUKES HOSPITAL,430014,432302,,,305 SOUTH STATE STREET,,ABERDEEN,SD,57401,11,10,0%,40,5%,43,Achievement,5,97%,35,100%,40,Achievement,8,68%,394,45%,469,Achievement,4,17%,374,24%,335,Achievement,6%,10,10,10,73%,No reduction,07/14/1977,INDEPENDENT,06/21/1974
AVERA ST MARYS,430015,432305,,,801 EAST SIOUX,,PIERRE,SD,57501,11,10,0%,21,0%,17,Achievement,10,100%,24,100%,18,Achievement,8,68%,273,46%,195,Achievement,5,15%,248,27%,132,Achievement,7%,10,10,10,91%,No reduction,10/10/1980,INDEPENDENT,05/13/2006
SANFORD HEALTH - DIALYSIS UNIT,430027,432303,,,1305 WEST 18TH STREET,,SIOUX FALLS,SD,57117,11,10,0%,63,1%,69,Achievement,10,100%,55,96%,53,Achievement,6,63%,617,54%,578,Achievement,4,17%,564,22%,405,Achievement,5%,10,10,10,85%,No reduction,08/08/1977,OTHER CHAIN(number of facilities <20 ),05/13/2006
AVERA GREGORY HEALTHCARE CTR DIALYSIS,431338,432308,,,400 PARK STREET,,GREGORY,SD,57533,11,N/A,,6,,9,N/A,N/A,,6,,7,N/A,N/A,Insufficient data,69,Insufficient data,56,N/A,N/A,Insufficient data,66,Insufficient data,38,N/A,N/A,0,10,10,67%,No reduction,05/01/2002,INDEPENDENT,01/02/2010
REGIONAL DIALYSIS CENTER,432304,,,,640 FLORMANN STREET SUITE 401,,RAPID CITY,SD,57701,11,10,0%,76,2%,97,Achievement,10,100%,87,97%,89,Achievement,10,79%,1003,81%,805,Achievement,9,6%,914,6%,552,Achievement,10%,N/A,N/A,0,90%,No reduction,07/19/1977,INDEPENDENT,05/13/2006
REGIONAL DIALYSIS CENTER - RCRH,432310,430077,,,353 FAIRMONT BOULEVARD,,RAPID CITY,SD,57701,11,N/A,,8,,0,N/A,N/A,,10,,0,N/A,4,56%,97,Insufficient data,0,Achievement,4,17%,75,Insufficient data,0,Achievement,4%,10,10,10,46%,0.5%,07/27/2011,INDEPENDENT,06/02/2011
BLACK HILLS DIALYSIS - EAGLE BUTTE,432501,,,,68 DIALYSIS STREET,,EAGLE BUTTE,SD,57625,11,10,0%,21,25%,20,Achievement,10,100%,30,100%,25,Achievement,10,76%,336,85%,299,Achievement,7,10%,325,3%,221,Achievement,9%,10,10,10,97%,No reduction,01/10/1994,INDEPENDENT,01/27/2010
SIOUX FALLS DIALYSIS - DAVITA,432503,,,,1325 SOUTH CLIFF AVENUE #4600,C/O AVERA MCKENNAN HOSPITAL,SIOUX FALLS,SD,57105,11,7,3%,70,14%,73,Achievement,10,100%,47,100%,48,Achievement,7,65%,607,59%,633,Achievement,7,11%,552,12%,430,Achievement,7%,10,10,10,82%,No reduction,02/16/1995,DAVITA,04/05/2011
ROSEBUD DIALYSIS OF DAVITA,432504,,,,1 SOLDIER CREEK ROAD,,ROSEBUD,SD,57570,11,10,0%,26,9%,33,Achievement,10,100%,29,97%,34,Achievement,10,81%,329,77%,374,Achievement,10,2%,305,4%,261,Achievement,10%,10,10,0,97%,No reduction,07/06/1995,DAVITA,05/13/2006
MITCHELL CMTY DIALYSIS OF DAVITA,432505,,,,525 NORTH FOSTER STREET,,MITCHELL,SD,57301,11,10,0%,32,12%,26,Achievement,10,100%,30,100%,25,Achievement,7,66%,376,54%,299,Achievement,6,13%,350,24%,203,Achievement,7%,10,10,10,91%,No reduction,08/11/1995,DAVITA,01/02/1980
BLACK HILLS DIALYSIS - PINE RIDGE,432508,,,,100 DIALYSIS DRIVE,PO BOX 3013,PINE RIDGE,SD,57770,11,10,0%,29,34%,47,Achievement,10,100%,36,98%,50,Achievement,10,75%,413,73%,500,Achievement,10,1%,371,2%,323,Achievement,10%,10,10,10,100%,No reduction,03/05/2002,INDEPENDENT,05/13/2006
DIALYSIS MGT GROUP - PORCUPINE,432514,,,,"HCR 49, BOX 82C",,PORCUPINE,SD,57772,11,10,0%,17,25%,12,Achievement,10,100%,20,100%,13,Achievement,9,73%,249,72%,83,Achievement,7,11%,219,0%,44,Achievement,8%,10,10,10,94%,No reduction,09/09/2004,INDEPENDENT,12/02/2010
MID-DAKOTA DIALYSIS OF SANFORD HEALTH,433502,431329,,,300 SOUTH BYRON BOULEVARD,,CHAMBERLAIN,SD,57325,11,10,0%,16,,10,Achievement,10,100%,18,100%,11,Achievement,10,80%,207,63%,143,Achievement,8,8%,196,18%,104,Achievement,9%,10,10,10,97%,No reduction,10/30/1996,OTHER CHAIN(number of facilities <20 ),01/02/1980
SISSETON SATELLITE DIALYSIS,433505,,,,100 LAKE TRAVERSE DRIVE,,SISSETON,SD,57262,11,N/A,,10,0%,13,N/A,0,85%,13,100%,13,Achievement,10,77%,132,76%,142,Achievement,4,17%,126,16%,100,Achievement,7%,10,10,10,41%,1.0%,12/02/1998,INDEPENDENT,05/18/2006
REGIONAL DIALYSIS CENTER - SPEARFISH,433506,,,,132 YANKEE STREET,,SPEARFISH,SD,57783,11,10,0%,22,4%,25,Achievement,2,95%,21,100%,22,Achievement,10,80%,252,85%,238,Achievement,9,7%,232,1%,166,Achievement,10%,10,10,10,76%,No reduction,08/27/1999,INDEPENDENT,08/26/2005
MADISON DIALYSIS OF SANFORD HEALTH,433507,,,,917 NORTH WASHINGTON AVENUE,,MADISON,SD,57042,11,N/A,,4,,2,N/A,N/A,,8,,5,N/A,N/A,Insufficient data,68,Insufficient data,71,N/A,N/A,Insufficient data,66,Insufficient data,50,N/A,N/A,10,10,10,100%,No reduction,04/24/2000,OTHER CHAIN(number of facilities <20 ),04/01/2000
WAGNER DIALYSIS OF SANFORD HEALTH,433509,,,,111 WASHINGTON,,WAGNER,SD,57380,11,N/A,,8,,9,N/A,N/A,,7,,9,N/A,N/A,Insufficient data,76,Insufficient data,94,N/A,N/A,Insufficient data,58,Insufficient data,62,N/A,N/A,10,10,10,100%,No reduction,11/12/2003,OTHER CHAIN(number of facilities <20 ),12/15/2011
AVERA DIALYSIS - BROOKINGS,433510,430016,,,300 22ND AVENUE SUITE 101,,BROOKINGS,SD,57006,11,N/A,,0,,0,N/A,N/A,,0,,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,Insufficient data,0,Insufficient data,0,N/A,N/A,N/A,N/A,10,100%,No reduction,09/06/2012,INDEPENDENT,05/02/2003
FMC JOHNSON CITY,442501,,,,100 TECHNOLOGY LANE,,JOHNSON CITY,TN,37604,8,10,0%,26,13%,32,Achievement,10,100%,27,91%,23,Achievement,3,53%,330,56%,301,Achievement,2,21%,297,27%,221,Achievement,3%,10,10,10,79%,No reduction,04/01/1973,FRESENIUS MEDICAL CARE,05/18/2010
DCI NASHVILLE,442502,,,,935 21ST AVENUE NORTH,,NASHVILLE,TN,37208,8,7,3%,58,0%,63,Achievement,10,100%,60,78%,64,Achievement,4,56%,702,44%,727,Achievement,4,18%,666,30%,506,Improvement,4%,10,10,10,73%,No reduction,04/01/1971,"DIALYSIS CLINIC, INC.",01/02/1980
DCI KNOXVILLE,442503,,,,3734 MARTIN MILL PIKE,,KNOXVILLE,TN,37920,8,9,1%,106,4%,114,Achievement,10,100%,73,95%,87,Achievement,4,58%,1007,58%,1123,Achievement,7,11%,937,13%,798,Achievement,6%,10,10,10,85%,No reduction,09/01/1976,"DIALYSIS CLINIC, INC.",01/02/1980
DCI JACKSON,442504,,,,31 SANDSTONE CIRCLE,,JACKSON,TN,38305,8,10,0%,76,2%,90,Achievement,10,100%,67,95%,78,Achievement,2,51%,835,48%,845,Achievement,2,20%,786,18%,594,Achievement,2%,10,10,10,76%,No reduction,09/01/1976,"DIALYSIS CLINIC, INC.",01/02/1980
DCI CHATTANOOGA 3RD ST,442505,,,,1425 EAST THIRD STREET,,CHATTANOOGA,TN,37404,8,10,0%,83,4%,93,Achievement,2,93%,76,91%,75,Improvement,4,58%,857,47%,841,Achievement,4,17%,818,27%,605,Achievement,4%,10,10,10,58%,No reduction,09/01/1976,"DIALYSIS CLINIC, INC.",11/05/2004
DCI MADISON,442507,,,,605 WEST DUE WEST AVENUE,,MADISON,TN,37115,8,8,3%,30,17%,30,Improvement,1,94%,35,97%,32,Achievement,2,50%,385,56%,357,Achievement,3,18%,348,13%,258,Achievement,3%,10,10,10,46%,0.5%,09/01/1976,"DIALYSIS CLINIC, INC.",03/06/2012
COOKEVILLE DIALYSIS,442511,,,,320 NORTH WILLOW AVENUE,,COOKEVILLE,TN,38501,8,9,1%,91,16%,93,Achievement,5,97%,63,97%,61,Achievement,10,75%,799,68%,751,Achievement,6,13%,754,12%,513,Achievement,8%,10,10,10,76%,No reduction,11/13/1979,GAMBRO HEALTHCARE,03/14/2012
FMC OAK RIDGE,442513,,,,650 BRIARCLIFF AVENUE,,OAK RIDGE,TN,37830,8,10,0%,46,2%,53,Achievement,7,98%,44,100%,44,Achievement,4,58%,519,49%,496,Achievement,1,27%,464,32%,353,Improvement,3%,10,10,10,70%,No reduction,07/16/1980,FRESENIUS MEDICAL CARE,10/11/2005
DCI EAST RIDGE,442514,,,,6104 NORTH MACK SMITH ROAD,,EAST RIDGE,TN,37412,8,10,0%,61,0%,65,Achievement,7,98%,64,100%,70,Achievement,6,62%,696,51%,815,Achievement,4,18%,657,30%,587,Improvement,5%,10,10,10,76%,No reduction,10/01/1980,"DIALYSIS CLINIC, INC.",01/02/1980
MORRISTOWN DIALYSIS,442517,,,,120 PEARCE DRIVE,,MORRISTOWN,TN,37814,8,10,0%,24,0%,28,Achievement,10,100%,31,100%,32,Achievement,2,52%,335,64%,357,Achievement,0,33%,310,21%,252,Achievement,1%,10,10,0,70%,No reduction,08/06/1981,DAVITA,05/26/2000
DCI CUMBERLAND,442518,,,,312 LANDRUM PLACE,,CLARKSVILLE,TN,37043,8,10,0%,55,6%,64,Achievement,7,98%,60,95%,65,Achievement,5,61%,679,57%,771,Achievement,9,7%,665,5%,564,Achievement,7%,10,10,10,82%,No reduction,08/03/1981,"DIALYSIS CLINIC, INC.",03/16/2012
FMC BRISTOL,442519,,,,1 MEDICAL PARK BOULEVARD,SUITE 100 E,BRISTOL,TN,37620,8,10,0%,34,0%,40,Achievement,5,97%,31,100%,35,Achievement,0,37%,328,43%,383,Achievement,0,34%,314,31%,269,Achievement,0%,10,10,10,55%,No reduction,02/20/1981,FRESENIUS MEDICAL CARE,01/02/1980
FMC EASTERN TENNESSEE,442522,,,,180 SERRAL DRIVE,,GREENEVILLE,TN,37745,8,10,0%,35,8%,40,Achievement,10,100%,37,100%,42,Achievement,1,46%,430,51%,448,Achievement,6,12%,403,17%,312,Achievement,4%,10,10,10,82%,No reduction,07/12/1982,FRESENIUS MEDICAL CARE,03/06/2012
FMC EAST MEMPHIS,442524,,,,6490 MOUNT MORIAH EXTENSION,SUITE 101,MEMPHIS,TN,38115,8,9,1%,103,6%,121,Achievement,5,97%,113,98%,121,Achievement,5,60%,1258,55%,1329,Achievement,2,21%,1182,24%,949,Achievement,4%,10,10,10,64%,No reduction,02/09/1984,FRESENIUS MEDICAL CARE,03/06/2012
FMC N KNOXVILLE DIALYSIS CNTR,442527,,,,4440 WALKER BOULEVARD,,KNOXVILLE,TN,37917,8,10,0%,48,0%,68,Achievement,10,100%,52,100%,65,Achievement,4,57%,594,62%,742,Achievement,4,17%,566,16%,516,Achievement,4%,10,10,10,82%,No reduction,10/10/1984,FRESENIUS MEDICAL CARE,03/06/2012
DCI MURFREESBORO,442528,,,,1024 NORTH HIGHLAND AVENUE,,MURFREESBORO,TN,37130,8,10,0%,61,5%,60,Achievement,8,99%,67,97%,59,Achievement,5,61%,763,54%,696,Achievement,6,13%,722,21%,487,Achievement,6%,10,10,10,82%,No reduction,11/07/1984,"DIALYSIS CLINIC, INC.",03/06/2012
DCI MARYVILLE,442531,,,,1851 CREST ROAD,,MARYVILLE,TN,37804,8,10,0%,49,4%,45,Achievement,4,96%,52,94%,48,Achievement,5,59%,606,51%,540,Achievement,7,11%,540,14%,390,Achievement,6%,10,10,10,70%,No reduction,05/06/1985,"DIALYSIS CLINIC, INC.",03/06/2012
DCI HUMBOLDT,442532,,,,"215 NORTH 14TH STREET,",,HUMBOLDT,TN,38343,8,10,0%,22,11%,35,Achievement,6,96%,27,89%,35,Improvement,5,59%,335,50%,382,Achievement,4,22%,303,34%,256,Improvement,5%,10,10,10,73%,No reduction,07/01/1985,"DIALYSIS CLINIC, INC.",01/02/1980
DYERSBURG DIALYSIS,442533,,,,1575 PARR AVENUE,,DYERSBURG,TN,38024,8,10,0%,63,4%,67,Achievement,10,100%,61,95%,58,Achievement,3,52%,661,40%,653,Improvement,4,17%,614,27%,437,Achievement,4%,10,10,0,79%,No reduction,08/29/1985,GAMBRO HEALTHCARE,03/06/2012
DCI DICKSON,442536,,,,100 ACADEMY STREET,,DICKSON,TN,37055,8,10,0%,68,7%,60,Achievement,10,100%,63,100%,59,Achievement,7,66%,726,55%,663,Achievement,9,7%,696,14%,458,Achievement,8%,10,10,10,94%,No reduction,01/30/1986,"DIALYSIS CLINIC, INC.",01/02/1980
FMC LAFOLLETTE,442537,,,,305 RIVER DRIVE,,LAFOLLETTE,TN,37766,8,10,0%,30,3%,33,Achievement,10,100%,34,97%,31,Achievement,9,71%,386,64%,341,Achievement,10,5%,366,20%,234,Achievement,10%,10,10,10,100%,No reduction,02/24/1986,FRESENIUS MEDICAL CARE,09/11/2001
DCI BROWNSVILLE,442538,,,,378 NORTH DUPREE STREET,,BROWNSVILLE,TN,38012,8,10,0%,23,5%,22,Achievement,6,96%,26,89%,27,Improvement,2,50%,288,53%,292,Achievement,5,18%,271,31%,201,Improvement,4%,10,10,10,70%,No reduction,02/28/1987,"DIALYSIS CLINIC, INC.",03/06/2012
COLUMBIA DIALYSIS,442539,,,,1705 GROVE DRIVE,,COLUMBIA,TN,38401,8,10,0%,22,4%,27,Achievement,10,100%,30,100%,30,Achievement,6,62%,319,59%,342,Achievement,0,25%,302,17%,252,Achievement,3%,10,10,10,79%,No reduction,04/18/1986,GAMBRO HEALTHCARE,05/06/2012
WHITEBRIDGE DIALYSIS,442540,,,,103 WHITE BRIDGE ROAD #6,,NASHVILLE,TN,37209,8,10,0%,51,0%,58,Achievement,4,96%,48,100%,41,Achievement,4,58%,523,51%,607,Achievement,7,10%,473,15%,434,Achievement,6%,10,10,10,70%,No reduction,05/16/1986,GAMBRO HEALTHCARE,01/02/1980
DCI SOUTHERN HILLS,442541,,,,510 RECOVERY ROAD,SUITE 100,NASHVILLE,TN,37211,8,10,0%,45,3%,37,Achievement,10,100%,49,100%,41,Achievement,3,54%,529,57%,442,Achievement,5,14%,475,12%,315,Achievement,4%,10,10,10,82%,No reduction,06/24/1986,"DIALYSIS CLINIC, INC.",04/13/2012
MURFREESBORO DIALYSIS,442549,,,,1346 DOW STREET,,MURFREESBORO,TN,37130,8,10,0%,33,0%,21,Achievement,10,100%,28,89%,19,Achievement,3,53%,308,50%,205,Achievement,2,21%,286,23%,149,Achievement,3%,10,10,10,79%,No reduction,01/14/1987,GAMBRO HEALTHCARE,08/18/2000
FMC WEST KNOXVILLE,442553,,,,11305 STATION WEST,,KNOXVILLE,TN,37922,8,10,0%,19,0%,25,Achievement,10,100%,23,100%,29,Achievement,0,45%,242,54%,298,Achievement,9,7%,217,14%,210,Achievement,5%,10,10,10,85%,No reduction,09/14/1987,FRESENIUS MEDICAL CARE,03/06/2012
DCI CHATTANOOGA BROAD ST,442555,,,,3555 BROAD STREET,,CHATTANOOGA,TN,37409,8,8,2%,48,8%,50,Achievement,7,98%,48,100%,48,Achievement,1,47%,525,45%,612,Achievement,2,20%,498,21%,432,Achievement,2%,10,10,10,61%,No reduction,09/14/1988,"DIALYSIS CLINIC, INC.",03/06/2012
CLARKSVILLE DIALYSIS,442556,,,,231 HILLCREST DRIVE,,CLARKSVILLE,TN,37043,8,8,2%,42,15%,39,Achievement,10,100%,41,97%,37,Achievement,4,58%,471,61%,446,Achievement,6,12%,446,7%,307,Achievement,5%,10,10,10,79%,No reduction,09/28/1988,GAMBRO HEALTHCARE,03/06/2012
DCI PARIS,442562,,,,1101 KELLEY DRIVE,,PARIS,TN,38242,8,10,0%,51,3%,63,Achievement,10,100%,55,97%,62,Achievement,10,77%,648,67%,679,Achievement,8,9%,618,11%,458,Achievement,9%,10,10,10,97%,No reduction,12/01/1989,"DIALYSIS CLINIC, INC.",03/06/2012
DCI MEDICAL CENTER,442564,,,,1600 HAYES STREET,MAIN FLOOR,NASHVILLE,TN,37203,8,0,13%,30,11%,36,Achievement,10,100%,29,97%,38,Achievement,6,64%,319,59%,421,Achievement,10,1%,276,6%,300,Achievement,8%,10,10,10,64%,No reduction,10/05/1990,"DIALYSIS CLINIC, INC.",03/06/2012
DCI HIXSON,442565,,,,1816 HAMILL ROAD,,HIXSON,TN,37343,8,10,0%,48,0%,58,Achievement,0,92%,48,97%,59,Achievement,3,55%,565,55%,673,Achievement,0,30%,539,30%,472,Achievement,2%,10,10,10,46%,0.5%,12/14/1990,"DIALYSIS CLINIC, INC.",03/06/2012
DCI DAYTON,442566,,,,916 MARKET STREET,,DAYTON,TN,37321,8,10,0%,29,0%,29,Achievement,5,97%,29,100%,31,Achievement,10,76%,326,71%,352,Achievement,6,12%,298,21%,256,Achievement,8%,10,10,10,79%,No reduction,12/14/1990,"DIALYSIS CLINIC, INC.",03/06/2012
APPALACHIAN DIALYSIS,442567,,,,503 ELM AVENUE,,NEW TAZEWELL,TN,37825,8,10,0%,34,0%,36,Achievement,10,100%,39,100%,40,Achievement,8,69%,449,73%,463,Achievement,6,12%,416,7%,323,Achievement,7%,10,10,0,88%,No reduction,01/23/1991,DAVITA,01/02/1980
FMC MEMPHIS,442569,,,,1428 MONROE AVENUE,,MEMPHIS,TN,38104,8,10,0%,67,2%,92,Achievement,8,99%,86,97%,94,Achievement,8,70%,952,67%,977,Achievement,9,7%,915,12%,681,Achievement,9%,10,10,10,91%,No reduction,04/30/1991,FRESENIUS MEDICAL CARE,03/06/2012
DCI CLARKSVILLE HWY,442572,,,,3229 CLARKSVILLE HIGHWAY,,NASHVILLE,TN,37218,8,7,4%,23,16%,25,Improvement,10,100%,26,100%,28,Achievement,3,52%,283,42%,304,Improvement,7,11%,259,23%,215,Achievement,5%,10,10,10,76%,No reduction,03/19/1993,"DIALYSIS CLINIC, INC.",03/06/2012
MEMPHIS CENTRAL DIALYSIS,442573,,,,889 DRIVE M L KING JR AVENUE,,MEMPHIS,TN,38126,8,10,0%,86,2%,93,Achievement,10,100%,90,97%,90,Achievement,3,54%,1020,52%,1035,Achievement,5,14%,978,14%,738,Achievement,4%,10,10,10,82%,No reduction,09/01/1976,GAMBRO HEALTHCARE,01/02/1980
FMC ROANE COUNTY,442574,,,,1662 ROANE STATE HIGHWAY,,HARRIMAN,TN,37748,8,7,3%,29,0%,32,Achievement,10,100%,33,97%,30,Achievement,6,62%,359,56%,333,Achievement,4,16%,331,16%,219,Achievement,5%,10,10,10,76%,No reduction,12/01/1992,FRESENIUS MEDICAL CARE,04/19/2011
MEMPHIS EAST DIALYSIS,442576,,,,50 HUMPHREYS BOULEVARD SUITE 42,,MEMPHIS,TN,38120,8,10,0%,133,3%,147,Achievement,10,100%,100,93%,114,Achievement,8,69%,1393,62%,1384,Achievement,5,15%,1322,18%,971,Achievement,7%,10,10,10,91%,No reduction,03/22/1993,GAMBRO HEALTHCARE,01/02/1980
FMC KINGSPORT,442577,,,,2002 BROOKSIDE DRIVE SUITE 101,,KINGSPORT,TN,37660,8,10,0%,41,10%,41,Achievement,7,98%,40,97%,39,Achievement,5,60%,469,56%,430,Achievement,1,24%,448,22%,296,Achievement,3%,10,10,10,70%,No reduction,03/22/1993,FRESENIUS MEDICAL CARE,01/01/2005
FMC BRADLEY,442579,,,,905 CLINGAN RIDGE ROAD,,CLEVELAND,TN,37312,8,10,0%,38,0%,37,Achievement,10,100%,37,100%,35,Achievement,10,81%,488,82%,400,Achievement,10,5%,453,5%,291,Achievement,10%,10,10,10,100%,No reduction,04/28/1993,FRESENIUS MEDICAL CARE,01/02/1980
DCI LEBANON,442581,,,,212 BABB DRIVE,,LEBANON,TN,37087,8,10,0%,45,0%,53,Achievement,4,96%,45,100%,52,Achievement,2,52%,556,49%,583,Achievement,8,8%,520,14%,411,Achievement,5%,10,10,10,67%,No reduction,05/12/1993,"DIALYSIS CLINIC, INC.",01/02/1980
VANDERBILT DIALYSIS CLINIC,442583,,,,1500 21ST AVENUE SOUTH SUITE 3600,,NASHVILLE,TN,37212,8,10,0%,109,1%,114,Achievement,5,97%,78,95%,83,Achievement,0,42%,934,39%,904,Achievement,2,25%,885,31%,638,Improvement,1%,10,10,10,58%,No reduction,05/13/1994,INDEPENDENT,01/02/1980
DCI SHELBYVILLE,442586,,,,1701 NORTH MAIN STREET,SUITE G,SHELBYVILLE,TN,37160,8,7,3%,40,5%,43,Achievement,10,100%,44,95%,44,Achievement,5,60%,463,53%,515,Achievement,6,12%,405,11%,376,Achievement,6%,10,10,10,79%,No reduction,07/08/1994,"DIALYSIS CLINIC, INC.",01/02/1980
WILLIAMSON COUNTY DIALYSIS,442587,,,,3983 CAROTHERS PARKWAY,SUITE E-4,FRANKLIN,TN,37067,8,10,0%,21,0%,20,Achievement,10,100%,19,94%,18,Achievement,3,54%,206,56%,199,Achievement,10,3%,194,7%,136,Achievement,7%,10,10,10,91%,No reduction,09/09/1994,GAMBRO HEALTHCARE,01/02/1980
DCI SEVIERVILLE,442589,,,,765 SUNRISE CIRCLE,,SEVIERVILLE,TN,37862,8,10,0%,29,0%,30,Achievement,8,97%,31,84%,32,Improvement,6,64%,355,69%,349,Achievement,6,12%,323,10%,240,Achievement,6%,10,10,10,82%,No reduction,02/27/1995,"DIALYSIS CLINIC, INC.",01/02/1980
FMC GRACELAND,442591,,,,1200 FARROW STREET,,MEMPHIS,TN,38116,8,10,0%,57,5%,65,Achievement,10,100%,62,97%,69,Achievement,3,54%,707,63%,707,Achievement,1,23%,666,16%,492,Achievement,2%,10,10,10,76%,No reduction,10/02/1995,FRESENIUS MEDICAL CARE,08/03/2010
SELMER DIALYSIS,442592,,,,251 OAK GROVE ROAD,,SELMER,TN,38375,8,10,0%,28,4%,28,Achievement,10,100%,25,100%,28,Achievement,8,68%,327,55%,338,Achievement,5,14%,306,17%,240,Achievement,7%,10,10,10,91%,No reduction,12/03/1996,DAVITA,03/06/2012
FMC NORTH MEMPHIS,442593,,,,3850 AUSTIN PEAY HIGHWAY,SUITE 10,MEMPHIS,TN,38128,8,10,0%,77,8%,72,Achievement,5,97%,76,97%,70,Achievement,4,57%,856,56%,742,Achievement,3,19%,789,15%,518,Achievement,4%,10,10,10,67%,No reduction,02/23/1996,FRESENIUS MEDICAL CARE,11/02/2004
DCI SUMMIT,442594,,,,5653 FRIST BOULEVARD,MEDICAL OFFICE BLDG II SUITE 334,HERMITAGE,TN,37076,8,4,6%,32,0%,33,Achievement,5,94%,36,88%,34,Improvement,0,42%,386,51%,381,Achievement,5,14%,358,18%,263,Achievement,3%,10,10,10,46%,0.5%,02/05/1996,"DIALYSIS CLINIC, INC.",01/02/1980
FMC ATHENS,442595,,,,943 DECATUR PIKE,,ATHENS,TN,37303,8,10,0%,26,3%,29,Achievement,10,100%,30,89%,28,Achievement,9,72%,335,72%,320,Achievement,8,8%,297,8%,221,Achievement,9%,10,10,10,97%,No reduction,11/01/1996,FRESENIUS MEDICAL CARE,01/02/1980
DCI LYERLY,442596,,,,2300 EAST THIRD STREET,SUITE A,CHATTANOOGA,TN,37404,8,9,1%,67,1%,84,Achievement,7,97%,69,90%,83,Improvement,2,48%,791,38%,945,Improvement,3,19%,764,28%,667,Achievement,3%,10,10,10,67%,No reduction,10/29/1996,"DIALYSIS CLINIC, INC.",01/02/1980
HUMBOLDT DIALYSIS,442598,,,,2214 OSBORNE,,HUMBOLDT,TN,38343,8,10,0%,52,5%,60,Achievement,10,100%,58,98%,59,Achievement,6,62%,685,63%,669,Achievement,7,11%,643,14%,463,Achievement,7%,10,10,10,91%,No reduction,02/06/1997,DAVITA,05/02/2005
BROWNSVILLE DIALYSIS,442599,,,,380 NORTH DUPREE STREET,,BROWNSVILLE,TN,38012,8,10,0%,34,5%,41,Achievement,10,100%,41,100%,41,Achievement,10,74%,473,70%,502,Achievement,9,7%,457,9%,359,Achievement,10%,10,10,10,100%,No reduction,01/16/1997,DAVITA,05/02/2005
NORTH JACKSON DIALYSIS,442600,,,,217 STERLING FARMS DRIVE,,JACKSON,TN,38305,8,10,0%,79,5%,96,Achievement,10,100%,65,92%,76,Achievement,7,66%,773,56%,854,Achievement,10,4%,739,17%,598,Achievement,9%,10,10,10,97%,No reduction,02/06/1997,DAVITA,06/17/2010
